pos,word
그놈/NP,그놈
그/MM+자식/NNG,그자식
어이없/VA,어이없다
어이없/NNG,어이없다
어처구니/NNG,어처구니
언짢/VA,언짢다
언짠/VA,언짢다
언짢음/NNG,언짢다
언짠음/NNG,언짢다
기분/NNG+나쁘/VA,기분나쁘다
기분/NNG+나빠/VA,기분나쁘다
기분/NNG+나빴/VA,기분나쁘다
기분/NNG+나쁨/NNG,기분나쁘다
기분/NNG+나쁠/VA,기분나쁘다
기분/NNG+나쁜/VA,기분나쁘다
옘병/NNG,옘병할
옘병/IC,옘병할
기집/NNG+년/NNB,기집년
기집/NNG,기집년
우라질/VV+ETM,우라질
우라질/NNG,우라질
우라질/IC,우라질
울화통/NNG,울화통
웃음거리/NNG,웃음거리
원망/NNG,원망하다
냉정/NNG,냉정하다
냉정/XR,냉정하다
웬수/NNP,웬수
웬수/NNG,웬수
네년/NP,네년
네놈/NP,네놈
으이구/IC,으이구
노여워하/VV,노여워하다
노엽/VA,노여워하다
노여/VA,노여워하다
노여워했/VV,노여워하다
노여워한/VV,노여워하다
노여워할/VV,노여워하다
노여움/NNG,노여워하다
이/MM+새끼/NNG,이새끼
ㅈ/NNG+같/VA,ㅈ같다
니미/IC,니미
니미/NNG,니미
네미/NNG,니미
네미/IC,니미
잡놈/NNG,잡놈
저년/NP,저년
저놈/NP,저놈
제/NP+JKG+기랄/NNG,제기랄
제기랄/IC,제기랄
제기랄/NNG,제기랄
멸시/NNG,멸시당하다
모멸감/NNG,모멸감
모욕/NNG,모욕적
모욕/NNG+적/XSN,모욕적
모욕적/NNG,모욕적
증오/NNG,증오하다
지랄/NNG,지랄하다
진노/NNG,진노하다
무시/NNG,무시당하다
질투/NNG,질투하다
짜증/NNG,짜증
미친개/NNG,미친개
미친/VV+ETM+개/NNG,미친개
밉/VA,밉다
미/VA,밉다
미움/NNG,밉다
발칙/XR,발칙하다
발칙/NNG,발칙하다
버럭/NNG,버럭
버럭/MAG,버럭
복수심/NNG,복수심
분개/NNG,분개하다
치떨리/VV,치떨리다
치떨린/VV,치떨리다
치떨렸/VV,치떨리다
치떨릴/VV,치떨리다
치/NNG+떨리/VV,치떨리다
치/NNG+떨린/VV,치떨리다
치/NNG+떨렸/VV,치떨리다
치/NNG+떨릴/VV,치떨리다
치떨림/NNG,치떨리다
치/NNG+떨림/NNG,치떨리다
분노/NNG,분노하다
치밀/VV+어/EC+오르/VV,치밀어오르다
치밀/VV+어/EC+올라/VV,치밀어오르다
치밀/VV+어/EC+오른/VV,치밀어오르다
치밀/VV+어/EC+오를/VV,치밀어오르다
치밀/VV+어/EC+올랐/VV,치밀어오르다
치밀/VV+어/EC+오름/NNG,치밀어오르다
불안/NNG,불안
불/XPN+안정/NNG,불안정
불안정/NNG,불안정
살벌/XR,살벌하다
살벌/NNG,살벌하다
새파래지/VV,새파래지다
새파랗/VV,새파래지다
새파라/VV,새파래지다
새파래진/VV,새파래지다
새파래졌/VV,새파래지다
새파래질/VV,새파래지다
새파란/VV,새파래지다
새파래짐/NNG,새파래지다
섬뜩/MAG,섬뜩하다
섬뜩/NNG,섬뜩하다
소름/NNG,소름끼치다
소심/XR,소심하다
소심/NNG,소심하다
스산/XR,스산하다
스산/NNG,스산하다
심오/XR,심오하다
걱정/NNG,걱정하다
겁/NNG,겁나다
겁나/VV,겁나다
겁날/VV,겁나다
겁났/VV,겁나다
겁내/VV,겁나다
겁난/VV,겁나다
겁쟁이/NNG,겁쟁이
아슬/MAG,아슬아슬하다
아슬/NNG,아슬아슬하다
아찔/XR,아찔하다
아찔/MAG,아찔하다
아찔/NNG,아찔하다
안절부절/MAG,안절부절
안절부절/NNG,안절부절
암담/XR,암담하다
암담/NNG,암담하다
공포감/NNG,공포감
공포/NNG,공포스럽다
공포/NNG+스럽/XSA,공포스럽다
공포/NNG+스러/XSV,공포스럽다
공포스럽/VA,공포스럽다
공포스러/VA,공포스럽다
급박/NNG,급박하다
염려/NNG,염려하다
염려/XR,염려하다
오싹/MAG,오싹하다
오싹/NNG,오싹하다
긴박/NNG,긴박하다
긴장/NNG,긴장되다
날카/VA,날카롭다
날카로움/NNG,날카롭다
위축/NNG,위축되다
으스스/MAG,으스스하다
으스스/NNG,으스스하다
노심초사/NNG,노심초사하다
을씨년/XR,을씨년스럽다
을씨년/VA,을씨년스럽다
을씨년/NNG,을씨년스럽다
을시년/XR,을씨년스럽다
을시년/VA,을씨년스럽다
을시년/NNG,을씨년스럽다
노파심/NNG,노파심
잔인/NNG,잔인하다
잔혹/NNG,잔혹하다
두렵/VA,두렵다
두려/VA,두렵다
두려움/NNG,두렵다
뒤숭숭/XR,뒤숭숭하다
뒤숭숭/MAG,뒤숭숭하다
뒤숭숭/VA,뒤숭숭하다
뒤숭숭/NNG,뒤숭숭하다
전전긍긍/NNG,전전긍긍하다
막막/XR,막막하다
막막/NNG,막막하다
망막/XR,막막하다
망설/NNG,망설이다
조마/MAG,조마조마하다
조마/NNG,조마조마하다
조바심/NNG,조바심하다
주눅/NNG,주눅들다
주의/NNG,주의
무섭/VA,무섭다
무서/VA,무섭다
무서움/NNG,무섭다
무시무시/XR,무시무시하다
무시무시/MAG,무시무시하다
쩔쩔매/VV,쩔쩔매다
쩔쩔맨/VV,쩔쩔매다
쩔쩔맸/VV,쩔쩔매다
쩔쩔맬/VV,쩔쩔매다
쩔쩔맴/NNG,쩔쩔매다
초조/NNG,초조하다
황당/XR,황당하다
황당함/NNG,황당하다
흠칫/MAG,흠칫하다
흠칫/NNG,흠칫하다
쇼킹/NNG,쇼킹하다
쇼킹/VA,쇼킹하다
가무러/VV,가무러치다
가무러침/NNG,가무러치다
갑작/XR,갑작스럽다
갑작스럽/VA,갑작스럽다
갑작스러/VA,갑작스럽다
갑작스러움/NNG,갑작스럽다
아뿔싸/IC,아뿔싸
경악/NNG,경악하다
아연실색/NNG,아연실색하다
곤혹/NNG,곤혹스럽다
어리둥절/XR,어리둥절하다
어리둥절/NNG,어리둥절하다
급작/XR,급작스럽다
급작스럽/VA,급작스럽다
급작스러/VA,급작스럽다
급작스러움/NNG,급작스럽다
기겁/NNG,기겁하다
얼떨떨/XR,얼떨떨하다
얼떨떨/NNG,얼떨떨하다
기막/VA,기막히다
기막힘/NNG,기막히다
기이/XR,기이하다
기이/NNG,기이하다
기절초풍/NNG,기절초풍하다
기절/NNG,기절하다
까무러/VV,까무러치다
까무러침/NNG,까무러치다
깜짝/MAG,깜짝
움찔/MAG,움찔하다
움찔/XR,움찔하다
움찔/NNG,움찔하다
놀랍/VA,놀랍다
놀라/VA,놀랍다
놀라움/NNG,놀랍다
ㅈ/NNG+됐/XSV+EP,ㅈ됐다
당혹/NNG,당혹스럽다
당황/NNG,당황스럽다
뜨끔하/VA,뜨끔하다
뜨끔/MAG+하/XSA,뜨끔하다
뜨끔/MAG+하/VA,뜨끔하다
뜨끔/NNG+하/XSA,뜨끔하다
뜨끔/NNG+하/VA,뜨끔하다
뜨악/XR,뜨악하다
뜨악/NNG,뜨악하다
질겁/XR,질겁하다
질겁/NNG,질겁하다
민망/XR,민망하다
민망/NNG,민망하다
민망/VA,민망하다
차이나/VV,차이난다
차이난/VV,차이난다
차이날/VV,차이난다
차이났/VV,차이난다
